time, heard, learned, nov_n_min1, nov_n_min2, all, lrn, n, v, oth
1,6,0,0.0188761752727,0.0188761752727,0.0184171269249,0.0,0.0188761752727,0.0163907148522,0.0210928060267
2,8,0,-1,-1,0.0204406836997,0.0,0.0198765505109,0.0203892979014,0.0213639621803
3,9,0,-1,-1,0.0204823612441,0.0,0.0198765505109,0.0203892979014,0.0211812353202
4,13,0,-1,-1,0.022943384224,0.0,0.0217431970972,0.0257897092943,0.0216264738691
5,19,0,-1,-1,0.0229650865043,0.0,0.0222843894895,0.025655066318,0.0213730372783
6,21,0,0.0167054352044,-1,0.0229658127312,0.0,0.0226453683242,0.025655066318,0.0213866066113
7,22,0,-1,-1,0.0232581772076,0.0,0.0226453683242,0.025655066318,0.0221877290714
8,25,0,0.0317831365677,-1,0.0246069957373,0.0,0.025341136107,0.027553742595,0.0222646129562
9,29,0,0.0285291874677,0.0285291874677,0.0250204104803,0.0,0.0260495919649,0.0271371004956,0.0228373976898
10,30,0,-1,-1,0.0250542346748,0.0,0.0260495919649,0.0271371004956,0.0230833775843
11,31,0,0.0254834672021,-1,0.0263709039397,0.0,0.0273162366173,0.0283056016416,0.0244531417558
12,32,0,-1,-1,0.0261910794656,0.0,0.0273162366173,0.0283056016416,0.0241790973996
13,34,0,-1,-1,0.0286638492688,0.0,0.0313865125278,0.031041323032,0.0257734478503
14,37,0,0.0300218976405,0.0300218976405,0.0306183943848,0.0,0.0311590767133,0.0355094683083,0.0274616535565
15,38,0,-1,-1,0.0307559944108,0.0,0.0311590767133,0.0355094683083,0.0279549207221
16,39,0,-1,-1,0.0328662236931,0.0,0.0352255379243,0.03540948687,0.0297047882493
17,39,0,-1,-1,0.0348724271215,0.0,0.0376279012826,0.0377487101936,0.0312354553183
18,40,0,-1,-1,0.0349259628796,0.0,0.0375806671411,0.0377487101936,0.0312354553183
19,43,0,-1,-1,0.0371058040772,0.0,0.0398955659924,0.0418568107117,0.0329169555151
20,45,0,0.0224963724377,-1,0.0402655770221,0.0,0.0408649878318,0.0507258075067,0.0348849076801
21,53,0,0.0370070833988,0.0370070833988,0.042721365465,0.0,0.0412435444517,0.0520816700709,0.039539591614
22,57,0,0.0324672372756,-1,0.0452445884171,0.0,0.044471343031,0.0525544544797,0.0424358680165
23,58,0,-1,-1,0.0458309312796,0.0,0.0469082191608,0.0525544544797,0.0420846072742
24,59,0,0.0324682235222,-1,0.0467860300475,0.0,0.0479433524752,0.0525544544797,0.043365009983
25,59,0,-1,-1,0.0473977264603,0.0,0.0479433524752,0.0525544544797,0.0447016799222
26,61,0,0.0416397751776,-1,0.0484990954126,0.0,0.0494379027315,0.0560446985472,0.0445611600086
27,61,0,-1,-1,0.0488651882538,0.0,0.0494379027315,0.0560446985472,0.0453587194127
28,63,0,0.0393406887524,-1,0.051075799822,0.0,0.0510759482143,0.0581911139806,0.0477721445117
29,65,0,-1,-1,0.0512048701159,0.0,0.0510641566392,0.0581911139806,0.0481847059684
30,65,0,-1,-1,0.0540403335496,0.0,0.0569512689883,0.0619527708394,0.0481847059684
31,66,0,-1,-1,0.0539080799905,0.0,0.0569512689883,0.0619527708394,0.0480889357243
32,66,0,-1,-1,0.0543018892211,0.0,0.0580813302587,0.0619527708394,0.0480889357243
33,67,0,-1,-1,0.0564002362699,0.0,0.060754802376,0.0609366758787,0.0509447304377
34,67,0,-1,-1,0.0570043784074,0.0,0.060754802376,0.0609366758787,0.0522939812115
35,67,0,-1,-1,0.0575499183371,0.0,0.060754802376,0.0609366758787,0.0535123537213
36,68,0,0.0502407602315,-1,0.0626656270853,0.0,0.0617142323824,0.0718225922154,0.0591534924537
37,70,0,0.0477926664686,-1,0.0656387109642,0.0,0.063801831981,0.0753631816047,0.06230720813
38,71,0,-1,-1,0.0652993095914,0.0,0.063801831981,0.0753631816047,0.0616373373353
39,72,0,0.056301748548,-1,0.0684860115914,0.0,0.0694221090898,0.0774859040347,0.0633461108944
40,74,0,-1,-1,0.0709969503604,0.0,0.0774427212334,0.0772884295117,0.0626140219504
41,75,0,0.060294431538,-1,0.0722608684558,0.0,0.0782282321311,0.0814846352646,0.0626140219504
42,76,0,0.0536050849508,-1,0.0728641477938,0.0,0.0785514227874,0.0834116682417,0.0626140219504
43,76,0,-1,-1,0.0750639437567,0.0,0.0814669861325,0.0851897589137,0.0643983740994
44,77,0,-1,-1,0.0751112999832,0.0,0.0821532808251,0.0851897589137,0.0642497603934
45,77,0,-1,-1,0.0762229399382,0.0,0.0821532808251,0.0851897589137,0.0668435869552
46,79,0,0.0520545960479,0.0520545960479,0.0769180438625,0.0,0.0801467018399,0.0876336265032,0.0687874662391
47,80,0,0.0539750373007,-1,0.0795131491446,0.0,0.081243831271,0.0885871018213,0.0734878646372
48,81,0,-1,-1,0.079780163543,0.0,0.081243831271,0.0885871018213,0.0743012014247
49,81,0,-1,-1,0.0802544814245,0.0,0.081243831271,0.0885871018213,0.0754311940247
50,82,0,-1,-1,0.083171083518,0.0,0.0881838459728,0.0855442447508,0.0774140430164
51,83,0,-1,-1,0.0854466513337,0.0,0.0924011112743,0.0841341905661,0.0798006523824
52,84,0,-1,-1,0.0886374601437,0.0,0.096492154603,0.0823943963885,0.0849645978822
53,86,0,-1,-1,0.0904893809002,0.0,0.095406086448,0.0857617238954,0.0885605496306
54,86,0,-1,-1,0.0910825762644,0.0,0.095406086448,0.0857617238954,0.0900181153825
