word, freq, first_time, first_vsize, lrnd_time, lrnd_freq, flrnd_vsize, last_time
a:DET,125,9,0,189,12,9,992,
about:PREP,6,23,0,707,6,87,707,
accident:N,1,842,102,-1,-1,-1,842,
again:ADV,3,491,44,853,3,103,853,
all:DET,14,21,0,618,8,68,852,
an:DET,6,356,26,-1,-1,-1,842,
and:CONJ,36,21,0,321,14,23,931,
angel:N,1,881,107,-1,-1,-1,881,
anna:N,2,891,110,-1,-1,-1,911,
another:DET,5,378,29,777,5,96,777,
answer:V,1,164,8,-1,-1,-1,164,
ant:N,1,203,11,-1,-1,-1,203,
any:DET,3,440,36,-1,-1,-1,850,
apron:N,1,356,25,-1,-1,-1,356,
are:AUX,44,5,0,282,16,19,952,
argue:V,1,993,126,-1,-1,-1,993,
arm:N,2,558,58,-1,-1,-1,652,
as:PREP,2,260,17,-1,-1,-1,595,
at:PREP,7,40,0,-1,-1,-1,868,
awake:V,1,939,117,-1,-1,-1,939,
away:ADV,5,571,61,-1,-1,-1,775,
aye:OTH,1,774,95,-1,-1,-1,774,
baby:N,12,21,0,660,5,78,930,
back:ADV,5,228,14,853,5,104,853,
ball:N,2,271,18,-1,-1,-1,272,
bang:N,2,287,20,-1,-1,-1,289,
be:V,291,1,0,138,39,7,1000,
bear:N,5,343,25,433,3,34,438,
because:CONJ,3,20,0,-1,-1,-1,760,
bed:N,1,817,102,-1,-1,-1,817,
bee:N,3,167,8,-1,-1,-1,183,
beetle:N,1,837,102,-1,-1,-1,837,
big:ADJ,5,519,50,650,2,76,795,
bike:N,1,521,50,-1,-1,-1,521,
bit:N,10,106,4,463,6,41,709,
blue:ADJ,3,73,0,-1,-1,-1,384,
blue:N,10,46,0,529,7,52,536,
body:N,2,419,31,-1,-1,-1,651,
boo:N,1,909,112,-1,-1,-1,909,
book:N,4,673,82,-1,-1,-1,796,
bore:V,2,4,0,-1,-1,-1,82,
box:N,12,29,0,787,12,97,787,
boy:N,3,189,9,-1,-1,-1,923,
break:V,1,253,16,-1,-1,-1,253,
breakfast:N,3,412,31,-1,-1,-1,987,
brick:N,1,322,24,-1,-1,-1,322,
bright:ADJ,1,132,6,-1,-1,-1,132,
bring:V,3,719,89,-1,-1,-1,777,
bunny:N,1,862,105,-1,-1,-1,862,
burglar:N,1,98,1,-1,-1,-1,98,
but:CONJ,5,4,0,992,5,125,992,
butterfly:N,2,181,9,-1,-1,-1,185,
call:V,1,779,97,-1,-1,-1,779,
camel:N,1,836,102,-1,-1,-1,836,
can:AUX,20,19,0,662,18,79,979,
cape:N,1,548,58,-1,-1,-1,548,
car:N,8,123,5,519,5,48,584,
caroline:N,4,20,0,-1,-1,-1,328,
cat:N,3,47,0,-1,-1,-1,745,
cereal:N,2,961,119,-1,-1,-1,962,
chair:N,2,348,25,-1,-1,-1,864,
chalk:N,10,71,0,544,3,56,645,
chimney:N,3,608,66,612,3,67,612,
choose:V,1,973,120,-1,-1,-1,973,
chuck:V,1,868,105,-1,-1,-1,868,
clean:V,1,843,103,-1,-1,-1,843,
cloth:N,3,449,37,-1,-1,-1,933,
coco:N,1,963,119,-1,-1,-1,963,
color:N,9,24,0,-1,-1,-1,532,
color:V,3,37,0,-1,-1,-1,606,
coloring:N,1,26,0,-1,-1,-1,26,
come:V,21,283,20,565,6,60,932,
convince:V,1,760,92,-1,-1,-1,760,
could:AUX,2,388,30,-1,-1,-1,547,
count:V,1,81,0,-1,-1,-1,81,
cow:N,4,674,82,761,4,93,761,
crab:N,1,505,45,-1,-1,-1,505,
crayon:N,6,28,0,646,6,71,646,
cricket:N,2,187,9,-1,-1,-1,188,
cup:N,1,991,125,-1,-1,-1,991,
daddy:N,9,141,8,-1,-1,-1,744,
deaf:ADJ,1,147,8,-1,-1,-1,147,
dear:N,1,615,68,-1,-1,-1,615,
did:AUX,15,99,1,428,8,33,906,
do:AUX,66,8,0,899,50,110,986,
do:V,44,16,0,618,31,69,978,
does:AUX,4,246,15,-1,-1,-1,800,
dog:N,1,424,31,-1,-1,-1,424,
doggie:N,2,696,84,-1,-1,-1,718,
dolly:N,1,717,89,-1,-1,-1,717,
door:N,4,599,66,-1,-1,-1,614,
dot:V,1,756,92,-1,-1,-1,756,
down:ADV,7,19,0,952,7,118,952,
draw:V,30,55,0,427,15,32,744,
drawing:N,1,729,90,-1,-1,-1,729,
dress:V,1,931,114,-1,-1,-1,931,
drink:N,2,847,103,-1,-1,-1,854,
drive:V,2,105,4,-1,-1,-1,209,
driver:N,1,280,19,-1,-1,-1,280,
dry:V,1,502,45,-1,-1,-1,502,
duck:N,2,337,24,-1,-1,-1,898,
ear:N,1,423,31,-1,-1,-1,423,
easel:N,1,569,61,-1,-1,-1,569,
easter:N,1,741,91,-1,-1,-1,741,
eat:V,5,844,103,982,3,122,985,
egg:N,1,779,97,-1,-1,-1,779,
elephant:N,1,353,25,-1,-1,-1,353,
else:N,5,78,0,754,4,91,970,
err:V,1,725,90,-1,-1,-1,725,
expect:V,1,21,0,-1,-1,-1,21,
eye:N,4,379,29,-1,-1,-1,753,
face:N,2,307,21,-1,-1,-1,751,
fall:V,1,883,108,-1,-1,-1,883,
far:ADJ,1,207,11,-1,-1,-1,207,
farm:N,1,710,89,-1,-1,-1,710,
fat:N,1,617,68,-1,-1,-1,617,
favorite:N,1,962,119,-1,-1,-1,962,
feed:V,2,22,0,-1,-1,-1,971,
fetch:V,1,160,8,-1,-1,-1,160,
find:V,12,14,0,798,12,100,798,
finger:N,1,815,102,-1,-1,-1,815,
finish:V,5,95,0,-1,-1,-1,598,
fire:N,2,628,71,-1,-1,-1,630,
first:ADV,3,589,64,-1,-1,-1,732,
fish:N,1,474,44,-1,-1,-1,474,
floor:N,1,810,102,-1,-1,-1,810,
flower:N,2,513,48,-1,-1,-1,613,
fly:N,1,689,83,-1,-1,-1,689,
foot:N,4,445,37,451,3,37,498,
for:PREP,16,81,0,560,5,58,987,
forget:V,1,707,88,-1,-1,-1,707,
friend:N,1,181,9,-1,-1,-1,181,
from:PREP,4,99,1,-1,-1,-1,954,
fry:V,1,617,68,-1,-1,-1,617,
fun:N,2,100,1,-1,-1,-1,102,
game:N,1,9,0,-1,-1,-1,9,
garden:N,2,613,68,-1,-1,-1,683,
get:V,32,28,0,226,11,12,952,
girl:N,5,882,107,-1,-1,-1,997,
give:V,3,314,21,-1,-1,-1,661,
glad:ADJ,1,760,92,-1,-1,-1,760,
glass:N,1,992,126,-1,-1,-1,992,
go:V,55,5,0,265,25,17,974,
goal:N,1,269,18,-1,-1,-1,269,
good:ADJ,12,48,0,499,6,44,997,
grandma:N,4,130,5,-1,-1,-1,246,
great:ADJ,1,101,1,-1,-1,-1,101,
green:N,5,402,30,538,4,54,540,
gregory:N,1,139,8,-1,-1,-1,139,
guitar:N,1,157,8,-1,-1,-1,157,
hand:N,2,215,11,-1,-1,-1,430,
handle:N,1,601,66,-1,-1,-1,601,
hang:V,1,833,102,-1,-1,-1,833,
happen:V,3,820,102,-1,-1,-1,941,
hat:N,2,654,78,-1,-1,-1,811,
have:V,49,50,0,440,18,36,987,
he:N,14,46,0,698,5,84,939,
head:N,3,420,31,883,3,107,883,
hedgehog:N,1,838,102,-1,-1,-1,838,
helicopter:N,1,678,82,-1,-1,-1,678,
help:N,1,953,119,-1,-1,-1,953,
her:N,9,133,7,843,4,102,971,
here:ADV,27,19,0,666,9,80,1000,
here:OTH,1,733,91,-1,-1,-1,733,
hey:OTH,1,814,102,-1,-1,-1,814,
highchair:N,2,955,119,-1,-1,-1,957,
him:N,10,149,8,934,6,115,955,
his:DET,4,91,0,933,4,114,933,
hold:N,1,508,47,-1,-1,-1,508,
hold:V,1,869,105,-1,-1,-1,869,
horse:N,5,364,27,-1,-1,-1,442,
house:N,14,568,61,588,6,63,682,
how:ADV,3,226,13,-1,-1,-1,480,
huh:OTH,1,324,24,-1,-1,-1,324,
humpty_dumpty:N,4,369,28,-1,-1,-1,398,
hurt:N,1,232,14,-1,-1,-1,232,
hurt:V,2,234,15,-1,-1,-1,815,
i:N,57,9,0,224,10,11,978,
if:CONJ,3,571,61,-1,-1,-1,662,
in:PREP,37,29,0,228,9,13,957,
it:N,118,4,0,122,10,4,1000,
its:DET,1,421,31,-1,-1,-1,421,
joel:N,6,1,0,-1,-1,-1,258,
john:N,18,413,31,425,4,31,643,
juice:N,1,989,125,-1,-1,-1,989,
jump:V,2,450,37,-1,-1,-1,451,
junk:N,2,703,86,704,2,86,704,
just:ADV,6,95,0,-1,-1,-1,935,
keep:V,1,488,44,-1,-1,-1,488,
key:N,3,235,15,788,3,98,788,
kick:V,1,950,118,-1,-1,-1,950,
kiss:N,1,314,21,-1,-1,-1,314,
know:V,9,261,17,547,4,57,923,
ladder:N,1,728,90,-1,-1,-1,728,
lady:N,3,153,8,-1,-1,-1,202,
last:N,1,117,4,-1,-1,-1,117,
last:V,1,551,58,-1,-1,-1,551,
left:ADJ,1,629,71,-1,-1,-1,629,
leg:N,2,422,31,653,2,77,653,
let:V,17,9,0,-1,-1,-1,798,
like:PREP,8,226,13,684,7,82,757,
like:V,12,120,4,-1,-1,-1,986,
listen:V,2,551,58,-1,-1,-1,553,
liz:N,11,667,81,668,2,81,920,
long:ADJ,1,345,25,-1,-1,-1,345,
look:N,4,145,8,-1,-1,-1,766,
look:V,13,79,0,691,10,83,818,
lose:V,2,169,8,-1,-1,-1,171,
love:N,1,789,99,-1,-1,-1,789,
lucy:N,1,302,21,-1,-1,-1,302,
magnet:N,1,791,99,-1,-1,-1,791,
make:V,10,147,8,648,7,74,940,
mama:N,1,154,8,-1,-1,-1,154,
many:DET,1,628,71,-1,-1,-1,628,
martin:N,3,254,16,-1,-1,-1,317,
mat:N,1,723,90,-1,-1,-1,723,
matter:N,2,329,24,-1,-1,-1,813,
me:N,22,14,0,506,11,46,869,
mean:V,3,369,27,-1,-1,-1,768,
might:AUX,4,224,11,885,3,108,915,
might:N,1,885,109,-1,-1,-1,885,
milk:N,3,847,103,-1,-1,-1,967,
mind:V,1,498,44,-1,-1,-1,498,
minute:N,3,550,58,-1,-1,-1,786,
miss:V,4,110,4,-1,-1,-1,133,
monkey:N,1,775,95,-1,-1,-1,775,
more:DET,7,44,0,588,7,62,588,
morning:N,1,22,0,-1,-1,-1,22,
mouth:N,1,439,35,-1,-1,-1,439,
move:V,1,787,98,-1,-1,-1,787,
much:DET,1,441,37,-1,-1,-1,441,
mum:N,1,36,0,-1,-1,-1,36,
mummy:N,7,434,35,459,3,38,843,
my:DET,2,745,91,-1,-1,-1,752,
name:N,1,555,58,-1,-1,-1,555,
need:N,1,970,120,-1,-1,-1,970,
need:V,2,52,0,-1,-1,-1,954,
next:ADJ,2,106,4,-1,-1,-1,190,
next:ADV,1,532,54,-1,-1,-1,532,
nice:ADJ,3,623,71,988,3,124,988,
nicole:N,1,983,123,-1,-1,-1,983,
night:N,1,551,58,-1,-1,-1,551,
no:DET,1,629,71,-1,-1,-1,629,
no:OTH,28,7,0,279,6,18,977,
noise:N,1,795,100,-1,-1,-1,795,
nose:N,7,91,0,560,5,59,879,
not:NEG,65,1,0,383,16,29,993,
now:ADV,12,5,0,647,8,73,939,
number:N,1,80,0,-1,-1,-1,80,
