time, heard, learned, nov_n_min1, nov_n_min2, all, lrn, n, v, oth
1,6,0,0.383850042614,0.383850042614,0.384530399684,0.0,0.383850042614,0.330705020464,0.494222229336
2,8,0,-1,-1,0.481497159921,0.0,0.441440791611,0.509644938262,0.499360044874
3,9,1,-1,-1,0.538390036446,0.993533048646,0.441440791611,0.509644938262,0.664084379465
4,13,2,-1,-1,0.508030900723,0.85305411088,0.453365305021,0.539769227521,0.526372715848
5,19,2,-1,-1,0.464724655848,0.85305411088,0.446917387294,0.490633017423,0.456422927513
6,21,3,0.433658127281,-1,0.483362812709,0.854664871488,0.517500956678,0.490633017423,0.45575724692
7,22,4,-1,-1,0.501224413557,0.860078161456,0.517500956678,0.490633017423,0.497813325364
8,25,4,0.598275820269,-1,0.510924736087,0.860078161456,0.543527571324,0.509094368564,0.491342256632
9,29,5,0.52351316769,0.52351316769,0.505691940073,0.850336019868,0.539079926072,0.500587667498,0.484053798957
10,30,6,-1,-1,0.520851546529,0.868693372185,0.539079926072,0.500587667498,0.520701978558
11,31,7,0.392849292527,-1,0.535787381509,0.849261389349,0.537094820982,0.504414411606,0.554088101855
12,32,8,-1,-1,0.543875141779,0.842428179449,0.537094820982,0.504414411606,0.571267216733
13,34,9,-1,-1,0.536822606883,0.82505032123,0.544393801147,0.506259640802,0.547372093508
14,37,9,0.389222307,0.389222307,0.533149138661,0.82655581273,0.518531885455,0.519360260431,0.551868322569
15,38,10,-1,-1,0.54509809822,0.842621191648,0.518531885455,0.519360260431,0.577476633119
16,39,10,-1,-1,0.549304868275,0.858039372332,0.531380369358,0.507361486973,0.586630032983
17,39,11,-1,-1,0.556860957047,0.852351827931,0.53179395271,0.524008931804,0.59388003378
18,40,12,-1,-1,0.565096296143,0.855178719012,0.559061688725,0.524008931804,0.59388003378
19,43,12,-1,-1,0.558640847039,0.862959249096,0.563464537819,0.527621864082,0.571014939511
20,45,13,0.224643065724,-1,0.561417924256,0.860139894434,0.550046516264,0.552281816226,0.573349390551
21,53,14,0.280335556658,0.280335556658,0.528153409475,0.842607956568,0.485649472944,0.538011889344,0.555512891933
22,57,15,0.293803158091,-1,0.525475642524,0.838780498973,0.491042254808,0.51753758068,0.554302223629
23,58,15,-1,-1,0.526241705815,0.844279011549,0.495383185789,0.51753758068,0.551825460708
24,59,15,0.618196949027,-1,0.530685896059,0.846909979958,0.503497100258,0.51753758068,0.556669440525
25,59,15,-1,-1,0.530764460766,0.847219001139,0.503497100258,0.51753758068,0.556841118958
26,61,16,0.537001129021,-1,0.536806032781,0.851362198016,0.50966141041,0.544054531696,0.554058000025
27,61,16,-1,-1,0.539885178236,0.863101440063,0.50966141041,0.544054531696,0.560766138338
