word, freq, first_time, first_vsize, lrnd_time, lrnd_freq, flrnd_vsize, last_time
a:DET,125,9,5,21,3,13,992,
about:PREP,6,23,15,548,5,163,707,
accident:N,1,842,235,-1,-1,-1,842,
again:ADV,3,491,147,738,2,206,853,
all:DET,14,21,13,265,3,87,852,
an:DET,6,356,108,558,2,166,842,
and:CONJ,36,21,13,43,3,26,931,
angel:N,1,881,242,881,1,242,881,
anna:N,2,891,243,911,2,246,911,
another:DET,5,378,108,378,1,108,777,
answer:V,1,164,63,-1,-1,-1,164,
ant:N,1,203,74,-1,-1,-1,203,
any:DET,3,440,133,802,2,222,850,
apron:N,1,356,108,-1,-1,-1,356,
are:AUX,44,5,2,151,6,60,952,
argue:V,1,993,261,993,1,261,993,
arm:N,2,558,167,652,2,190,652,
as:PREP,2,260,87,-1,-1,-1,595,
at:PREP,7,40,23,417,4,122,868,
awake:V,1,939,250,-1,-1,-1,939,
away:ADV,5,571,168,775,5,218,775,
aye:OTH,1,774,217,774,1,217,774,
baby:N,12,21,13,656,3,192,930,
back:ADV,5,228,79,494,2,148,853,
ball:N,2,271,89,272,2,89,272,
bang:N,2,287,94,-1,-1,-1,289,
be:V,291,1,0,4,3,1,1000,
bear:N,5,343,105,343,1,105,438,
because:CONJ,3,20,13,496,2,151,760,
bed:N,1,817,228,-1,-1,-1,817,
bee:N,3,167,63,167,1,63,183,
beetle:N,1,837,233,-1,-1,-1,837,
big:ADJ,5,519,159,519,1,159,795,
bike:N,1,521,160,-1,-1,-1,521,
bit:N,10,106,49,117,2,53,709,
blue:ADJ,3,73,36,-1,-1,-1,384,
blue:N,10,46,29,59,2,31,536,
body:N,2,419,125,651,2,189,651,
boo:N,1,909,245,909,1,245,909,
book:N,4,673,194,764,2,215,796,
bore:V,2,4,2,82,2,41,82,
box:N,12,29,18,596,6,176,787,
boy:N,3,189,71,923,3,247,923,
break:V,1,253,85,253,1,85,253,
breakfast:N,3,412,121,955,2,251,987,
brick:N,1,322,99,322,1,99,322,
bright:ADJ,1,132,55,-1,-1,-1,132,
bring:V,3,719,204,764,2,214,777,
bunny:N,1,862,238,-1,-1,-1,862,
burglar:N,1,98,45,-1,-1,-1,98,
but:CONJ,5,4,2,750,3,211,992,
butterfly:N,2,181,69,-1,-1,-1,185,
call:V,1,779,219,-1,-1,-1,779,
camel:N,1,836,233,-1,-1,-1,836,
can:AUX,20,19,12,73,4,37,979,
cape:N,1,548,164,-1,-1,-1,548,
car:N,8,123,54,123,1,54,584,
caroline:N,4,20,12,-1,-1,-1,328,
cat:N,3,47,29,745,3,210,745,
cereal:N,2,961,253,-1,-1,-1,962,
chair:N,2,348,106,864,2,238,864,
chalk:N,10,71,35,71,1,35,645,
chimney:N,3,608,180,609,2,181,612,
choose:V,1,973,258,-1,-1,-1,973,
chuck:V,1,868,239,-1,-1,-1,868,
clean:V,1,843,235,-1,-1,-1,843,
cloth:N,3,449,136,933,3,249,933,
coco:N,1,963,253,963,1,253,963,
color:N,9,24,15,51,2,29,532,
color:V,3,37,21,606,3,179,606,
coloring:N,1,26,15,-1,-1,-1,26,
come:V,21,283,92,284,2,92,932,
convince:V,1,760,214,-1,-1,-1,760,
could:AUX,2,388,112,547,2,162,547,
count:V,1,81,41,-1,-1,-1,81,
cow:N,4,674,194,680,2,194,761,
crab:N,1,505,155,-1,-1,-1,505,
crayon:N,6,28,16,32,2,18,646,
cricket:N,2,187,70,188,2,70,188,
cup:N,1,991,259,991,1,259,991,
daddy:N,9,141,57,147,3,58,744,
deaf:ADJ,1,147,59,-1,-1,-1,147,
dear:N,1,615,183,-1,-1,-1,615,
did:AUX,15,99,45,162,2,61,906,
do:AUX,66,8,4,164,15,62,986,
do:V,44,16,10,26,3,15,978,
does:AUX,4,246,84,800,4,221,800,
dog:N,1,424,128,-1,-1,-1,424,
doggie:N,2,696,198,718,2,203,718,
dolly:N,1,717,203,-1,-1,-1,717,
door:N,4,599,177,600,2,177,614,
dot:V,1,756,214,-1,-1,-1,756,
down:ADV,7,19,12,173,3,68,952,
draw:V,30,55,30,389,9,112,744,
